alpha: 0.1, p: 0.1, scale: 10, test loss: 2.368259906768799
alpha: 0.1, p: 0.1, scale: 50, test loss: 23.143632888793945
alpha: 0.1, p: 0.1, scale: 100, test loss: 110.15974426269531
alpha: 0.1, p: 0.25, scale: 10, test loss: 2.8860456943511963
alpha: 0.1, p: 0.25, scale: 50, test loss: 494.88323974609375
alpha: 0.1, p: 0.25, scale: 100, test loss: 123.39019012451172
alpha: 0.1, p: 0.5, scale: 10, test loss: 3.4292876720428467
alpha: 0.1, p: 0.5, scale: 50, test loss: 57.53285217285156
alpha: 0.1, p: 0.5, scale: 100, test loss: 254.542236328125
alpha: 1, p: 0.1, scale: 10, test loss: 8.39688491821289
alpha: 1, p: 0.1, scale: 50, test loss: 44.5567741394043
alpha: 1, p: 0.1, scale: 100, test loss: 144.87411499023438
alpha: 1, p: 0.25, scale: 10, test loss: 9.273456573486328
alpha: 1, p: 0.25, scale: 50, test loss: 92.08841705322266
alpha: 1, p: 0.25, scale: 100, test loss: 140.04087829589844
alpha: 1, p: 0.5, scale: 10, test loss: 11.64786148071289
alpha: 1, p: 0.5, scale: 50, test loss: 1409.576904296875
alpha: 1, p: 0.5, scale: 100, test loss: 316.8423156738281
alpha: 10, p: 0.1, scale: 10, test loss: 22.433223724365234
alpha: 10, p: 0.1, scale: 50, test loss: 213.72010803222656
alpha: 10, p: 0.1, scale: 100, test loss: 380.51458740234375
alpha: 10, p: 0.25, scale: 10, test loss: 42.40732192993164
alpha: 10, p: 0.25, scale: 50, test loss: 170.98184204101562
alpha: 10, p: 0.25, scale: 100, test loss: 4548.9541015625
alpha: 10, p: 0.5, scale: 10, test loss: 70.58879089355469
alpha: 10, p: 0.5, scale: 50, test loss: 304.2052001953125
alpha: 10, p: 0.5, scale: 100, test loss: 755.0217895507812
alpha: 50, p: 0.1, scale: 10, test loss: 21.323657989501953
alpha: 50, p: 0.1, scale: 50, test loss: 597.624755859375
alpha: 50, p: 0.1, scale: 100, test loss: 2523.167236328125
alpha: 50, p: 0.25, scale: 10, test loss: 46.77237319946289
alpha: 50, p: 0.25, scale: 50, test loss: 1120.6749267578125
alpha: 50, p: 0.25, scale: 100, test loss: 4398.21728515625
alpha: 50, p: 0.5, scale: 10, test loss: 79.68592071533203
alpha: 50, p: 0.5, scale: 50, test loss: 1134.9051513671875
alpha: 50, p: 0.5, scale: 100, test loss: 2641.271240234375
alpha: 100, p: 0.1, scale: 10, test loss: 26.720355987548828
alpha: 100, p: 0.1, scale: 50, test loss: 577.0021362304688
alpha: 100, p: 0.1, scale: 100, test loss: 2471.14208984375
alpha: 100, p: 0.25, scale: 10, test loss: 50.565887451171875
alpha: 100, p: 0.25, scale: 50, test loss: 1111.7806396484375
alpha: 100, p: 0.25, scale: 100, test loss: 4660.32958984375
alpha: 100, p: 0.5, scale: 10, test loss: 85.4118881225586
alpha: 100, p: 0.5, scale: 50, test loss: 2155.2578125
alpha: 100, p: 0.5, scale: 100, test loss: 2716.65673828125
